Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.379446627492409,-0.586814520881292,0.433316600137267,0,0,0,18.6458089186862,0.341339886264213,-8.9395680407862E-18,8.7361257498331E-06,1.0733768203153,2.06916411894125E-17,1.4066802531373,0,0,0,0,0,0,package://4wheeledrobo/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4wheeledrobo/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
linkleft1,-2.22044604925031E-16,0,-0.0580446927374302,0,0,0,1.12469016998515,0.00461378889564732,0,3.15169641815633E-20,0.00461378889564732,-4.79315007032552E-20,0.00898526914853218,0,0,0,0,0,0,package://4wheeledrobo/meshes/linkleft1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4wheeledrobo/meshes/linkleft1.STL,,wheel-1,Origin_leftpoint,Axis1,leftpoint,continuous,0.53039,-0.78681,0.43258,1.5708,0.39309,-3.1416,base_link,0,0,1,1,1,,,,,,,,,,
linkright,0,5.55111512312578E-17,0.0119553072625698,0,0,0,1.12469016998515,0.00461378889564732,-4.41631305290208E-35,1.04486585211827E-19,0.00461378889564732,-1.72554969039549E-37,0.00898526914853218,0,0,0,0,0,0,package://4wheeledrobo/meshes/linkright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4wheeledrobo/meshes/linkright.STL,,wheel-2,Origin_rightpoint,Axis1,rightpoint,continuous,0.53039,-0.31681,0.43258,1.5708,0,0,base_link,0,0,-1,1,1,,,,,,,,,,
linkleft2,0,5.55111512312578E-17,-0.0580446927374302,0,0,0,1.12469016998515,0.00461378889564732,-1.0842021724855E-19,2.51374988049489E-20,0.00461378889564732,-4.85308082546461E-20,0.00898526914853218,0,0,0,0,0,0,package://4wheeledrobo/meshes/linkleft2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4wheeledrobo/meshes/linkleft2.STL,,wheel-4,Origin_leftpoint2,Axis2,leftpoint2,continuous,0.22881,-0.78681,0.43258,1.5708,0.39309,-3.1416,base_link,0,0,-1,1,1,,,,,,,,,,
Linkright,-2.77555756156289E-17,5.55111512312578E-17,0.0119553072625698,0,0,0,1.12469016998515,0.00461378889564732,-4.41631305290208E-35,1.04486585211827E-19,0.00461378889564732,-1.72554969039549E-37,0.00898526914853218,0,0,0,0,0,0,package://4wheeledrobo/meshes/Linkright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4wheeledrobo/meshes/Linkright.STL,,wheel-3,Origin_rightpoint2,Axis2,rightpoint,continuous,0.22881,-0.31681,0.43258,1.5708,0,0,base_link,0,0,1,1,1,,,,,,,,,,
